8,508,1020
10136,520,1016
20264,532,1016
30400,544,1016
40536,556,1016
50672,572,1016
60808,584,1012
70944,596,1012
81080,608,1008
91216,620,1004
101348,632,1004
111480,644,1000
121616,656,996
131752,668,992
141888,680,988
152024,692,984
162160,704,980
172296,716,976
182432,728,968
192568,736,964
202696,748,956
212824,760,952
222960,772,944
233096,780,940
243232,792,932
253368,800,924
263504,812,916
273640,820,912
283776,832,904
293912,840,896
304044,852,884
314176,860,876
324312,868,868
334448,876,860
344584,884,852
354720,896,840
364856,904,832
374992,912,820
385128,916,812
395256,924,800
405384,932,792
415520,940,780
425656,944,772
435792,952,760
445928,956,748
456064,964,736
466200,968,728
476336,976,716
486472,980,704
496604,984,692
506736,988,680
516872,992,668
527008,996,656
537144,1000,644
547280,1004,632
557416,1004,620
567552,1008,608
577688,1012,596
587824,1012,584
597952,1016,572
608080,1016,556
618216,1016,544
628352,1016,532
638488,1016,520
648624,1020,508
658760,1016,496
668896,1016,484
679032,1016,472
689168,1016,460
699300,1016,444
709432,1012,432
719568,1012,420
729704,1008,408
739840,1004,396
749976,1004,384
760112,1000,372
770248,996,360
780384,992,348
790512,988,336
800640,984,324
810776,980,312
820912,976,300
831048,968,288
841184,964,280
851320,956,268
861456,952,256
871592,944,244
881728,940,236
891860,932,224
901992,924,216
912128,916,204
922264,912,196
932400,904,184
942536,896,176
952672,884,164
962808,876,156
972944,868,148
983080,860,140
993208,852,132
1003336,840,120
1013472,832,112
1023608,820,104
1033744,812,100
1043880,800,92
1054016,792,84
1064152,780,76
1074288,772,72
1084424,760,64
1094556,748,60
1104688,736,52
1114824,728,48
1124960,716,40
1135096,704,36
1145232,692,32
1155368,680,28
1165504,668,24
1175640,656,20
1185768,644,16
1195896,632,12
1206032,620,12
1216168,608,8
1226304,596,4
1236440,584,4
1246576,572,0
1256712,556,0
1266848,544,0
1276984,532,0
1287116,520,0
1297248,508,0
1307384,496,0
1317520,484,0
1327656,472,0
1337792,460,0
1347928,444,0
1358064,432,4
1368200,420,4
1378336,408,8
1388464,396,12
1398592,384,12
1408728,372,16
1418860,360,20
1428996,348,24
1439132,336,28
1449268,324,32
1459404,312,36
1469536,300,40
1479668,288,48
1489800,280,52
1499936,268,60
1510072,256,64
1520208,244,72
1530344,236,76
1540480,224,84
1550616,216,92
1560752,204,100
1570888,196,104
1581016,184,112
1591144,176,120
1601276,164,132
1611412,156,140
1621548,148,148
1631684,140,156
1641816,132,164
1651948,120,176
1662084,112,184
1672220,104,196
1682348,100,204
1692476,92,216
1702612,84,224
1712748,76,236
1722884,72,244
1733020,64,256
1743156,60,268
1753292,52,280
1763428,48,288
1773556,40,300
1783684,36,312
1793820,32,324
1803952,28,336
1814084,24,348
1824216,20,360
1834348,16,372
1844484,12,384
1854616,12,396
1864748,8,408
1874876,4,420
1885004,4,432
1895140,0,444
1905276,0,460
1915412,0,472
1925548,0,484
1935684,0,496
1945820,0,508
1955956,0,520
1966092,0,532
1976220,0,544
1986348,0,556
1996480,0,572
2006612,4,584
2016744,4,596
2026876,8,608
2037008,12,620
2047140,12,632
2057272,16,644
2067400,20,656
2077528,24,668
2087664,28,680
2097800,32,692
2107936,36,704
2118072,40,716
2128208,48,728
2138344,52,736
2148480,60,748
2158616,64,760
2168744,72,772
2178872,76,780
2189004,84,792
2199136,92,800
2209268,100,812
2219404,104,820
2229536,112,832
2239668,120,840
2249800,132,852
2259928,140,860
2270056,148,868
2280192,156,876
2290328,164,884
2300464,176,896
2310600,184,904
2320736,196,912
2330872,204,916
2341008,216,924
2351144,224,932
2361272,236,940
2371400,244,944
2381532,256,952
2391668,268,956
2401804,280,964
2411936,288,968
2422068,300,976
2432204,312,980
2442340,324,984
2452468,336,988
2462596,348,992
2472732,360,996
2482868,372,1000
2493004,384,1004
2503140,396,1004
2513276,408,1008
2523412,420,1012
2533548,432,1012
2543684,444,1016
2553812,460,1016
2563944,472,1016
2574080,484,1016
2584216,496,1016
2594348,508,1020
2604484,520,1016
2614620,532,1016
2624756,544,1016
2634892,556,1016
2645024,572,1016
2655152,584,1012
2665280,596,1012
2675416,608,1008
2685552,620,1004
2695688,632,1004
2705824,644,1000
2715960,656,996
2726096,668,992
2736232,680,988
2746364,692,984
2756496,704,980
2766632,716,976
2776768,728,968
2786904,736,964
2797040,748,956
2807176,760,952
2817312,772,944
2827448,780,940
2837584,792,932
2847712,800,924
2857840,812,916
2867976,820,912
2878112,832,904
2888248,840,896
2898384,852,884
2908520,860,876
2918656,868,868
2928792,876,860
2938928,884,852
2949060,896,840
2959192,904,832
2969328,912,820
2979464,916,812
2989600,924,800
2999736,932,792
3009872,940,780
3020008,944,772
3030144,952,760
3040280,956,748
3050408,964,736
3060536,968,728
3070672,976,716
3080808,980,704
3090944,984,692
3101080,988,680
3111216,992,668
3121352,996,656
3131488,1000,644
3141620,1004,632
3151752,1004,620
3161888,1008,608
3172024,1012,596
3182160,1012,584
3192296,1016,572
3202432,1016,556
3212568,1016,544
3222704,1016,532
3232840,1016,520
3242968,1020,508
3253096,1016,496
